step,stage,loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/edge,base/k1/global,base/k1/local,refined/k1/edge,refined/k1/global,refined/k1/local,refined/k2/edge,refined/k2/global,refined/k2/local,refined/k3/edge,refined/k3/global,refined/k3/local,ssr_max_abs_log_depth_residual,ssr_max_abs_raw_log_depth_residual,ssr_max_bound_saturation_fraction,ssr_max_depth_span
801,joint,0.16033056750893593,1.1407339572906494,2e-06,5e-07,0.0,0.0007702850271016359,0.02198883396340534,0.02499893185449764,0.000865422382048564,0.018046442710328847,0.020530788111500442,0.0009335183713119477,0.015478630899451673,0.019013165263459086,0.0009951343163265847,0.014805470767896622,0.02190394018543884,0.09913008660078049,0.2716657519340515,0.0006917318096384406,836.0
802,joint,0.14402834326028824,0.7689264416694641,2e-06,5e-07,0.0,0.0007159870910982136,0.022644268872682005,0.0163598355720751,0.0008007793949218467,0.020248403365258127,0.01666469720657915,0.000866163354658056,0.019096074771368876,0.012694798002485186,0.0009234232056769542,0.019179292663466185,0.013834620476700366,0.09930840879678726,0.28318074345588684,0.0028839111328125,423.0
803,joint,0.18005759082734585,1.5409588813781738,2e-06,5e-07,0.0,0.0008624132533441298,0.02653704641852528,0.022091284627094865,0.000924624917388428,0.023228142701555043,0.02101783809484914,0.0009803352513699792,0.020983309776056558,0.022739118547178805,0.0010367097129346803,0.020247297652531415,0.019409473112318665,0.09567645937204361,0.19061939418315887,2.0345052689663135e-05,659.0
804,joint,0.17925835866481066,0.9055598378181458,2e-06,5e-07,0.0,0.0008151130459737033,0.02583876153221354,0.019887053000275046,0.000887977184902411,0.022025740356184542,0.018746424466371536,0.0009504949484835379,0.019891344447387382,0.032228113734163344,0.0010083541710628197,0.019631791627034545,0.017347185988910496,0.09933265298604965,0.28497079014778137,0.0004984537954442203,664.0
805,joint,0.1295927008613944,0.9251323938369751,2e-06,5e-07,0.0,0.0007721679976384621,0.01666749472497031,0.01721021707635373,0.0008361839209101163,0.013825248635839671,0.0184448899817653,0.0008907591982278973,0.012316935928538442,0.015483504510484636,0.0009445355826755986,0.012142436229623854,0.02005832688882947,0.0985872820019722,0.2472856193780899,0.0003204345703125,660.0
806,joint,0.13618646748363972,0.6613194942474365,2e-06,5e-07,0.0,0.000647841934551252,0.02051632056827657,0.019076205790042877,0.0007451360506820492,0.017027963447617367,0.01683242793660611,0.0008170742221409455,0.014737950448761694,0.015342119470005855,0.000881738647876773,0.014063484471989796,0.015498206426855177,0.09989523142576218,0.37768909335136414,0.0019938151817768812,708.0
807,joint,0.19261292554438114,1.4545420408248901,2e-06,5e-07,0.0,0.0008612023884779774,0.027601264999248087,0.025671361945569515,0.0009286337663070299,0.024179344240110368,0.022586154052987695,0.000988650463114027,0.021961973514407873,0.022256082971580327,0.0010475709350430407,0.02106362284393981,0.02346706611569971,0.09905678778886795,0.2676025629043579,0.0005289713735692203,572.0
808,joint,0.12409469438716769,1.2113622426986694,2e-06,5e-07,0.0,0.0007791194620949682,0.01530030625872314,0.018417273880913854,0.000869096187670948,0.012751673813909292,0.017919661884661764,0.0009382135249325074,0.011728279176168144,0.016192943847272545,0.0009973110354621895,0.0120429492671974,0.01615786791080609,0.09812963008880615,0.2331392616033554,0.0001983642578125,443.0
809,joint,0.14688978716731071,1.015332818031311,2e-06,5e-07,0.0,0.000857590239320416,0.02049856528174132,0.017445814912207425,0.0009246411573258229,0.017366648418828845,0.02082374633755535,0.0009744207782205194,0.01550890866201371,0.018506944878026843,0.0010215677539235912,0.01471427344949916,0.018246669322252274,0.09931587427854538,0.2837253212928772,0.0040944418869912624,709.0
810,joint,0.18712459737434983,1.229101300239563,2e-06,5e-07,0.0,0.0007530376205977518,0.03151801333297044,0.019323543994687498,0.0008366811598534696,0.026956532907206565,0.020319917937740684,0.0009062084136530757,0.023837149317841977,0.017996798094827682,0.000967508865869604,0.02284636173862964,0.020862846518866718,0.09839583933353424,0.24088312685489655,0.0003916422720067203,587.0
