step,train/k0_point_rel,train/k0_depth_rel,train/k0_depth_delta_1.01,train/k0_depth_delta_1.25,train/k0_boundary_f1,train/k0_crop_point_rel,train/k0_crop_depth_rel,train/k0_crop_depth_delta_1.01,train/k0_crop_depth_delta_1.25,train/k0_crop_boundary_f1,train/k0_structure_point_rel,train/k0_structure_depth_rel,train/k0_structure_depth_delta_1.01,train/k0_structure_depth_delta_1.25,train/k0_structure_boundary_f1,val/k0_point_rel,val/k0_depth_rel,val/k0_depth_delta_1.01,val/k0_depth_delta_1.25,val/k0_boundary_f1,val/k0_crop_point_rel,val/k0_crop_depth_rel,val/k0_crop_depth_delta_1.01,val/k0_crop_depth_delta_1.25,val/k0_crop_boundary_f1,val/k0_structure_point_rel,val/k0_structure_depth_rel,val/k0_structure_depth_delta_1.01,val/k0_structure_depth_delta_1.25,val/k0_structure_boundary_f1,train/k3_point_rel,train/k3_depth_rel,train/k3_depth_delta_1.01,train/k3_depth_delta_1.25,train/k3_boundary_f1,train/k3_crop_point_rel,train/k3_crop_depth_rel,train/k3_crop_depth_delta_1.01,train/k3_crop_depth_delta_1.25,train/k3_crop_boundary_f1,train/k3_structure_point_rel,train/k3_structure_depth_rel,train/k3_structure_depth_delta_1.01,train/k3_structure_depth_delta_1.25,train/k3_structure_boundary_f1,val/k3_point_rel,val/k3_depth_rel,val/k3_depth_delta_1.01,val/k3_depth_delta_1.25,val/k3_boundary_f1,val/k3_crop_point_rel,val/k3_crop_depth_rel,val/k3_crop_depth_delta_1.01,val/k3_crop_depth_delta_1.25,val/k3_crop_boundary_f1,val/k3_structure_point_rel,val/k3_structure_depth_rel,val/k3_structure_depth_delta_1.01,val/k3_structure_depth_delta_1.25,val/k3_structure_boundary_f1
800,0.052725183544680476,0.04442902552429587,0.3868109165877104,0.9611541497707367,0.8005988436937332,0.08538843601731197,0.07473643396471469,0.2796048211320391,0.9166843373820467,0.7796665629688299,0.062340739411565496,0.051756549951673114,0.29063231585863625,0.9690320862914031,0.6073361179738674,0.08653977431822568,0.06673888675868511,0.1996227849740535,0.956520639359951,0.8550957553088665,0.06728290021419525,0.06628545373678207,0.037353515625,0.9814995527267456,0.8538358211517334,0.08108149468898773,0.07978402823209763,0.0464952252805233,0.9826931357383728,0.7584583163261414,0.045053243073634806,0.037261981340125205,0.4497941828519106,0.9656162869930267,0.7989669281244278,0.07561322222551647,0.06536170017887961,0.355412982404232,0.92106631117047,0.7774655110431168,0.050970347158891975,0.04124975345044766,0.3607262180028659,0.9712510333870942,0.608318141749445,0.08882924460340291,0.06960059719858691,0.17784797120839357,0.9566821381449699,0.840909656137228,0.07128453254699707,0.06995034962892532,0.0477430559694767,0.9826388955116272,0.8421648144721985,0.0865146815776825,0.08506540209054947,0.0324978306889534,0.9820963740348816,0.7914575934410095
850,0.05243597490247339,0.04420904949773103,0.38816479183733466,0.961382138133049,0.8066398558020592,0.08492097798032018,0.07433891291115081,0.28037805665495263,0.9169458713171617,0.7849580046703231,0.06185948079065332,0.05139264071641384,0.2914336008933496,0.9691847911420858,0.6114931074234674,0.08619317488046363,0.06654260406503454,0.20229626703076065,0.9569749087095261,0.8610829003155231,0.06767943501472473,0.06668122857809067,0.0355088971555233,0.981065571308136,0.8600876331329346,0.08148263394832611,0.08017351478338242,0.0475260429084301,0.9826388955116272,0.7604477405548096,0.04379390940070152,0.03603354599326849,0.4771298732981086,0.9660278999805451,0.8006142142415047,0.07381779271757828,0.06370675634100752,0.39173622640236366,0.9219882814389355,0.7768519264909456,0.04960967897314508,0.04007388173409228,0.405590531222944,0.9709545924978437,0.6077537355276773,0.0893567850580439,0.07049563026521355,0.18559185764752328,0.9522561393678188,0.843220591545105,0.06937126070261002,0.06808479875326157,0.0576985664665699,0.9823133945465088,0.8474023938179016,0.08727769553661346,0.0858546644449234,0.0389539934694767,0.9811198115348816,0.7841863632202148
900,0.05232052142266184,0.044123196760192517,0.3897785759717226,0.9614747071266174,0.8084226709604263,0.08477784902349396,0.07422199741638494,0.2801590436753237,0.9170162070472285,0.7865493249780727,0.061674659913581495,0.05125015866854843,0.29220719091629366,0.969311719795443,0.6134948408547437,0.08614796167239547,0.06654243858065456,0.20164235727861524,0.9570928402245045,0.8628742955625057,0.06798925995826721,0.06698795408010483,0.0339084193110466,0.981065571308136,0.8613086938858032,0.08181587606668472,0.08050117641687393,0.0467122383415699,0.9826388955116272,0.7605616450309753,0.04388734716922045,0.03600537350866943,0.4677858043462038,0.9663801693916321,0.7995308274030686,0.07353289421858653,0.06327679777904502,0.3908501808654587,0.9227947885135435,0.776649978925597,0.049099869042072655,0.039299815805312596,0.4076728454597716,0.971153420097423,0.6088101859643774,0.0895765251480043,0.07001284946454689,0.18021880579181015,0.9544721618294716,0.8422846309840679,0.06810525804758072,0.06681741774082184,0.0533582903444767,0.9825032353401184,0.8501072525978088,0.08511044830083847,0.08371571451425552,0.0329861119389534,0.9817165732383728,0.7828617095947266
950,0.052221090430393816,0.04403273895382881,0.3903763197734952,0.9615427219867706,0.8103096410632133,0.08466285857248981,0.07411087290296015,0.2795064327711204,0.9172061355608814,0.7884842860248854,0.06162819361208745,0.051213557041197455,0.29016857683430164,0.9692984549504406,0.6152595254891323,0.08583332545822486,0.06637952203163877,0.2052012006752193,0.9572155550122261,0.8646907992660999,0.06845567375421524,0.06745190918445587,0.0327419713139534,0.9809841513633728,0.863344132900238,0.08250517398118973,0.08117619156837463,0.0465494804084301,0.982421875,0.7621282935142517,0.04303463074378669,0.03528618086595088,0.4829811343923211,0.9665159952640533,0.7999246463179588,0.07313166548199249,0.06297952864529952,0.3942834975303344,0.9225337044248041,0.777021976012104,0.048887305664566325,0.039155980659965076,0.4112900846971656,0.9709051431349989,0.6057860207445217,0.0902913617901504,0.06992541562067345,0.18285250617191195,0.9541135765612125,0.8422039784491062,0.06866355985403061,0.06750085949897766,0.02286783792078495,0.982530415058136,0.8577480912208557,0.08465208113193512,0.08315537124872208,0.0333116315305233,0.9814995527267456,0.7959910035133362
1000,0.05210606130771339,0.04393637527246028,0.39258541524410245,0.9616573888063431,0.8112515503168106,0.08463458890833382,0.07409511054953877,0.2795200123680088,0.9170536736272416,0.7891056697885945,0.06139845724375743,0.0509920225232699,0.291055367530306,0.969464547229263,0.6161290282067263,0.08592199411941692,0.06636397453257814,0.2019866518676281,0.9572063386440277,0.8654070757329464,0.06792835146188736,0.06692076474428177,0.0356174036860466,0.9811198115348816,0.8631097078323364,0.08179202675819397,0.08047094196081161,0.0476345494389534,0.982530415058136,0.7625589370727539,0.043610824546776714,0.035798675287514924,0.4639236070215702,0.9666413760185242,0.8019973960518837,0.0736866591252246,0.06342678499531071,0.3876603924722042,0.9228634530643247,0.7799664212847656,0.04976927601503876,0.039946828055072506,0.4001147814516751,0.9710061685094293,0.6134821328352082,0.09113296505529433,0.07096064160577953,0.17836357769556344,0.9525378011167049,0.8420862071216106,0.06911057233810425,0.06797568500041962,0.02105034701526165,0.982177734375,0.8498343825340271,0.08540819585323334,0.08397083729505539,0.02837456576526165,0.9811198115348816,0.7889037132263184
1100,0.05188263622578233,0.043746864106506106,0.3924125151336193,0.9620198857784271,0.8116004550457001,0.08433397302298613,0.07385423204879153,0.28172796781895293,0.9173596073996346,0.789403072786781,0.061245611570072626,0.050925015261010176,0.2908892286941409,0.9696014456029208,0.6167668038100567,0.08557807334000245,0.06609400798333809,0.2027177948039025,0.9577394425868988,0.8660978227853775,0.06828080117702484,0.06727330386638641,0.0341525599360466,0.9810926914215088,0.8607679605484009,0.0822279080748558,0.08090592920780182,0.0472547747194767,0.982421875,0.761365532875061,0.04323774327524006,0.03549032906070351,0.4803207024559379,0.9668287038803101,0.7997304335236549,0.07306606610709766,0.0629596702824786,0.39150306413758473,0.9234134892247757,0.777244931965504,0.049251596970518806,0.039728077796270266,0.3875785082719236,0.9712995032094559,0.611100860221206,0.08923586690798402,0.0707195937866345,0.1896403018035926,0.9508955553174019,0.8416287824511528,0.06982234865427017,0.06865469366312027,0.02484809048473835,0.9819607138633728,0.8444761633872986,0.0884266123175621,0.08693782240152359,0.0362955741584301,0.9802517294883728,0.7862781286239624
1200,0.05168436230625957,0.04357537389267236,0.3949256927520037,0.9623144787549972,0.8124045798182488,0.08415903412859957,0.07370534975011393,0.2817385163650198,0.9175273213746413,0.7902220138963664,0.061050597894585355,0.05076303253969494,0.29079320338853404,0.9697542437967265,0.6169220653345,0.08552961493842304,0.06604463199619204,0.20376493269577622,0.9579044319689274,0.866700042039156,0.06816863268613815,0.06716104596853256,0.03564453125,0.9811198115348816,0.8603506088256836,0.08208171278238297,0.08076214790344238,0.0472547747194767,0.9825846552848816,0.763425886631012,0.04360174720175564,0.03578506936319172,0.4635974999517202,0.9670957469940186,0.8001283097267151,0.07414264616749759,0.06388493718684844,0.3767740217582235,0.9227056120926479,0.7779060208572531,0.04994331064792174,0.04025054009596132,0.3822460897829173,0.9706840582613675,0.6118834103053471,0.08990867633838207,0.07108069787500426,0.18953314947430044,0.9524395577609539,0.8392137475311756,0.07255379110574722,0.07136618345975876,0.0651041641831398,0.9814995527267456,0.8392897248268127,0.09080168604850769,0.08933550864458084,0.0353732630610466,0.9792209267616272,0.799646258354187
1300,0.05148424171376973,0.04340791324153542,0.3975419551506639,0.962561240196228,0.8126280808448791,0.08404077582483022,0.07360445869699964,0.28181552725299347,0.9175759992509518,0.7903551816377999,0.060807506553828716,0.05054224540813351,0.291087424461642,0.9698911073072901,0.617389717613751,0.08532993460539728,0.06585636036470532,0.20172437117435038,0.9581542909145355,0.8666612915694714,0.06786463409662247,0.06684832274913788,0.0370279960334301,0.9811198115348816,0.8585085868835449,0.0816986933350563,0.08037660270929337,0.0478515625,0.9826388955116272,0.7634880542755127,0.04280178574845195,0.03510379538405686,0.4765935518592596,0.9669127124547958,0.8014135357737541,0.0730122425329854,0.06279857890715576,0.3983151112806122,0.9232792033339446,0.7802570037684351,0.0488562706752487,0.03907249304729531,0.42029795630501127,0.9713230256764394,0.6128679684029436,0.08942590316291898,0.06963092950172722,0.17737590288743377,0.9553253762423992,0.8450035527348518,0.06850599497556686,0.06730037182569504,0.0539008267223835,0.9818793535232544,0.8460376262664795,0.08671688288450241,0.08521070331335068,0.0326063372194767,0.9803602695465088,0.7812974452972412
1400,0.051274210112169386,0.043211499690078196,0.39915535159409044,0.9628453403711319,0.8128884106874465,0.08383055170119372,0.0734124365526269,0.28277245937091,0.9178760411604395,0.7906693127357735,0.06081907080380984,0.050558916433661616,0.2914922324202533,0.9698470932132793,0.6172896551917184,0.0852965991361998,0.06573741469765082,0.20302613847889006,0.9584607407450676,0.8670118637382984,0.06786204129457474,0.06685315072536469,0.0367024727165699,0.9809841513633728,0.8581216335296631,0.08162398636341095,0.0803145319223404,0.0477973110973835,0.9822590947151184,0.7610662579536438,0.04222483637742698,0.034582971413619816,0.4897359108179808,0.9671879917383194,0.8009228876233101,0.07233751633749255,0.06224038671561569,0.4022706465901069,0.9235448556126289,0.7789853442952318,0.04840947460945485,0.038720977264192866,0.4180054803783039,0.97073240325136,0.6102352320866765,0.08995346468873322,0.06997219362528995,0.18742894160095602,0.9541320167481899,0.842698659747839,0.06539944559335709,0.06420018523931503,0.0402289517223835,0.982286274433136,0.8468034863471985,0.08126119524240494,0.07977455109357834,0.0540907122194767,0.9807942509651184,0.7914079427719116
1500,0.051081528752110895,0.043045270172879097,0.4004649597033858,0.9630440896749497,0.8140585625171661,0.08361260988310261,0.07324146934486223,0.28253198316637074,0.9178748704352468,0.7916511426556785,0.0603884234848731,0.05019734875422041,0.2896530068883637,0.9700894929328054,0.618997483180379,0.08517733350163326,0.06558397191110998,0.20364538789726794,0.9587659165263176,0.8680815994739532,0.06790737807750702,0.06689560413360596,0.0370822474360466,0.9810926914215088,0.8586858510971069,0.08173225075006485,0.08041863888502121,0.0483940988779068,0.9825846552848816,0.761833131313324,0.04284211806021631,0.035048317769542335,0.4750028860569,0.967770044207573,0.8024405345320702,0.07292838429786125,0.06285262009445226,0.3844530126958523,0.923684981634032,0.7806797578649701,0.0489954092838573,0.03937937275348407,0.3948776312172413,0.9710535429558664,0.6166751866914192,0.09009838075144216,0.07059727027080953,0.17456106282770634,0.9542025774717331,0.8445227779448032,0.06810169667005539,0.06690506637096405,0.0351291224360466,0.9823133945465088,0.8515732884407043,0.08342812210321426,0.08188383281230927,0.0531684048473835,0.9808485507965088,0.7794645428657532
